"Age","EdLevel","Employment","Gender","MentalHealth","MainBranch","YearsCode","YearsCodePro","PreviousSalary","ComputerSkills","SQL","python","java","c_plus_plus","cloud","Continent","class"
0,4,1,0,1,0,12,7,85500,16,1,1,1,0,1,1,0
0,4,0,0,0,0,7,7,48000,12,1,0,0,1,1,1,1
0,0,1,0,0,0,12,9,64859,6,0,0,0,1,1,2,0
0,4,1,0,0,0,6,3,42158,11,1,0,0,1,1,2,0
0,4,1,0,0,1,2,2,60000,12,1,1,1,0,1,3,1
0,0,0,0,0,0,5,5,51888,7,1,1,0,0,1,2,0
1,3,1,0,0,1,16,12,35028,1,0,0,0,0,0,2,0
0,2,1,0,0,1,9,3,9084,10,1,0,1,1,1,2,1
1,3,1,0,0,0,13,8,74588,3,0,0,1,0,0,2,0
0,4,1,0,0,0,6,4,33732,11,0,0,1,0,1,2,0
0,0,1,0,0,0,13,8,27852,12,1,0,1,1,0,5,1
0,4,1,0,0,0,12,3,50153,11,0,1,1,1,1,2,0
0,0,1,0,0,0,15,11,30716,13,0,0,1,1,1,1,1
0,0,1,0,0,0,10,7,77831,25,1,1,1,1,0,2,1
0,4,1,1,0,0,7,3,81624,13,1,0,0,1,1,2,1
0,0,1,0,0,1,6,2,54049,5,0,1,0,0,0,2,0
0,4,1,0,1,0,10,2,10450,18,1,0,1,0,0,5,1
0,0,1,0,0,0,7,7,41077,15,1,0,1,0,1,2,1
0,4,1,0,0,0,10,3,45396,8,0,0,1,1,1,2,0
0,2,1,0,0,0,4,2,19389,10,1,0,1,1,0,2,1
1,0,1,0,0,0,24,15,77831,8,1,0,1,0,0,2,0
1,4,1,0,0,0,18,13,160000,6,0,1,1,1,0,3,0
1,4,0,0,0,0,37,31,185000,17,1,0,1,1,1,3,1
0,4,1,0,0,1,20,9,107972,7,0,0,0,0,1,3,0
0,4,1,0,0,0,9,7,66897,21,1,1,1,0,1,1,1
1,2,1,0,0,0,5,0,75000,17,1,1,1,0,1,6,1
0,2,1,0,1,0,8,6,48472,12,1,0,1,0,1,2,0
1,4,1,0,1,0,24,16,120000,13,1,0,1,1,1,3,1
0,2,1,0,0,0,12,12,8796,10,1,0,1,0,0,6,0
0,2,0,0,0,0,5,3,4272,17,1,0,1,0,0,1,1
0,4,1,0,0,0,9,4,28105,10,1,0,1,1,0,2,0
1,2,1,0,0,0,30,20,77832,10,1,0,1,0,1,2,0
0,3,1,0,0,1,10,4,51704,5,0,1,0,0,0,2,0
1,4,1,0,0,1,23,23,18000,9,1,0,1,0,0,5,0
1,2,0,0,0,0,20,15,43239,17,1,1,1,0,1,2,1
0,4,1,0,0,0,6,1,9231,6,1,0,1,0,0,0,0
1,4,1,0,0,0,25,15,70264,10,1,0,0,1,1,2,1
0,4,1,0,1,0,5,2,5388,18,1,0,1,1,1,0,1
0,0,1,0,0,0,22,13,115000,10,0,1,1,1,1,3,1
0,4,1,1,1,0,21,12,144000,22,0,1,1,0,1,3,1
0,0,1,0,0,0,14,4,65508,6,0,1,0,1,0,2,0
1,0,1,0,0,0,31,21,70264,5,0,0,0,1,0,2,0
1,1,1,0,0,0,22,22,105000,6,0,1,1,0,0,3,0
1,0,1,0,0,0,20,5,56211,13,1,0,1,1,1,2,1
0,0,1,0,0,1,10,7,64630,7,1,1,0,1,1,2,1
0,0,1,0,0,0,14,10,110000,6,1,0,0,1,0,3,0
0,4,0,0,0,0,14,7,64860,10,1,0,1,0,0,5,0
1,4,1,0,1,0,25,15,120000,21,1,0,1,1,1,3,1
0,4,1,0,0,0,7,0,6360,10,1,1,0,1,1,1,0
0,1,1,0,1,0,11,6,48644,20,1,0,1,0,0,2,1
0,0,1,0,0,0,17,11,54672,14,1,1,1,1,1,2,0
0,4,1,0,0,0,6,4,35676,15,1,0,1,1,0,2,1
0,4,1,0,0,0,18,4,75631,3,0,0,0,0,0,3,0
0,0,1,0,0,1,14,9,58373,9,1,1,0,0,0,2,0
0,4,1,0,0,0,4,3,25944,15,1,0,1,0,1,2,0
0,4,1,0,0,0,4,2,5585,13,1,0,1,0,0,1,0
0,2,1,1,1,0,15,4,58000,8,1,0,1,0,1,3,0
0,4,1,0,0,0,18,6,61616,15,1,0,1,1,1,2,0
1,3,1,0,0,1,20,13,59454,6,0,0,0,1,1,2,0
0,3,1,0,0,1,15,3,55224,7,0,0,1,1,0,2,0
0,0,1,0,1,0,11,6,68068,10,1,1,0,0,1,3,0
1,3,1,0,0,0,30,14,118908,9,0,1,1,0,1,2,0
0,1,1,0,1,0,18,1,40000,6,1,0,0,1,1,3,0
0,4,1,0,0,0,15,8,71850,12,0,0,1,0,0,3,1
1,4,1,0,0,0,21,14,66934,4,0,0,1,0,0,3,0
0,0,1,0,0,0,8,3,54216,8,0,1,0,1,1,2,0
0,4,0,0,0,0,12,10,64860,15,1,1,1,0,1,2,1
0,4,1,0,0,0,6,1,19860,10,1,1,0,0,1,6,0
0,2,1,0,1,0,6,1,54888,10,1,1,1,0,0,2,0
1,0,1,0,0,0,27,20,56616,16,1,1,1,0,1,2,0
0,3,1,0,1,1,13,9,45401,17,1,1,1,1,1,2,1
0,0,0,0,0,0,2,1,48104,2,0,0,1,0,0,2,0
1,4,0,0,0,0,24,20,84312,8,1,0,0,1,1,2,0
1,0,1,0,0,0,25,24,55582,7,1,0,1,1,1,2,0
1,2,1,0,0,0,30,21,60752,14,1,0,1,1,1,2,1
0,2,1,0,0,0,9,4,25944,16,1,0,1,1,1,2,1
1,4,1,0,0,0,26,16,179858,16,1,1,0,1,1,1,0
1,2,1,0,0,0,26,20,30372,6,1,0,1,1,1,2,1
0,0,1,0,1,0,15,6,29832,14,1,0,1,1,0,2,1
0,4,1,0,0,0,10,6,40020,16,0,0,1,1,1,1,1
1,3,1,0,0,1,20,6,90000,8,1,0,0,0,1,3,0
0,4,1,0,0,0,12,3,67000,28,1,1,1,1,1,3,1
0,4,1,0,0,0,12,4,21676,8,1,1,0,0,1,1,0
1,0,1,0,0,0,25,16,101649,4,0,0,0,1,0,2,0
0,2,1,0,0,0,6,4,17352,22,1,1,1,1,1,6,1
0,0,1,0,0,0,8,7,34380,10,1,1,1,0,1,2,0
1,3,1,0,0,0,35,23,155111,9,0,1,0,0,1,2,0
0,0,1,0,0,0,16,4,64860,12,1,1,1,0,1,2,1
1,4,1,0,1,0,14,12,123228,7,0,0,1,0,0,2,0
0,4,0,0,1,0,6,2,90000,14,1,0,1,0,1,3,0
0,1,1,0,0,1,15,1,28308,10,1,1,0,0,1,2,0
0,0,1,0,0,0,3,3,48644,9,1,0,1,0,1,2,0
0,4,1,0,0,0,12,5,54769,7,0,0,1,0,0,2,0
0,4,1,0,0,0,7,5,45564,16,1,0,1,0,1,2,1
0,4,1,0,0,0,9,7,25428,20,1,0,1,1,1,1,1
0,0,1,0,0,1,20,12,29000,2,0,0,0,1,0,3,0
0,4,1,0,0,0,10,6,170000,24,1,0,1,1,1,3,1
0,4,1,1,0,0,7,3,19728,22,1,1,1,1,1,1,1
0,4,1,0,0,0,9,4,24132,8,1,0,1,0,1,2,0
0,2,1,0,0,0,10,6,54804,20,0,1,1,1,0,5,1
0,4,1,0,0,0,9,4,70000,13,1,0,1,0,1,3,1
0,4,1,0,0,0,13,8,42432,13,1,0,1,1,1,0,1
1,0,0,0,0,0,15,10,97288,13,1,0,1,0,1,2,1
0,1,1,0,0,0,8,2,40000,9,0,0,1,0,0,3,0
0,4,1,0,0,0,8,4,15408,20,1,0,1,1,1,1,1
0,0,1,0,0,0,7,6,54224,8,1,1,1,0,1,2,0
0,0,1,0,0,0,11,7,81319,13,1,1,1,0,0,2,1
1,4,1,0,1,1,22,4,85000,5,1,0,0,0,1,3,0
0,4,1,0,0,0,6,1,64859,17,1,1,1,0,1,2,1
1,0,1,0,0,0,35,30,62268,15,1,0,1,1,1,2,1
0,2,1,0,1,0,12,5,31750,18,1,1,1,1,1,3,1
0,0,1,0,0,0,6,2,1e+05,17,0,0,1,1,1,3,1
0,4,1,0,0,0,5,3,92000,14,1,1,1,0,1,3,0
0,4,1,0,0,0,10,4,34591,15,1,1,1,0,1,2,0
1,2,1,0,0,0,20,10,92500,23,1,1,1,1,0,2,1
0,0,1,0,0,0,15,12,135000,7,0,1,0,1,1,3,0
0,4,1,0,1,0,9,5,71093,24,1,0,1,0,1,2,1
0,4,1,0,0,0,8,5,42756,4,0,0,0,1,0,1,0
0,4,1,0,0,0,8,4,150000,11,1,1,1,0,1,3,1
1,4,1,0,1,0,21,19,65000,13,1,0,1,1,1,3,1
1,1,0,0,0,0,18,17,25944,11,1,0,1,0,0,2,1
1,3,1,0,0,1,25,20,64859,6,1,1,0,0,1,2,0
1,4,1,0,0,0,20,15,48644,6,1,0,0,1,1,2,0
0,4,1,0,0,0,10,3,35672,10,1,0,0,0,1,2,0
0,0,1,0,0,0,12,7,64860,8,1,1,1,0,1,2,0
0,4,1,0,1,0,10,3,59454,8,1,0,0,0,0,2,0
0,0,1,0,0,0,12,9,45396,10,1,0,1,1,1,2,1
1,4,0,0,1,0,28,20,19452,17,1,1,1,1,0,2,1
0,4,1,1,1,0,3,2,22212,29,1,1,1,1,1,1,1
0,4,1,0,0,0,18,11,60000,29,1,0,1,0,1,5,1
1,3,1,0,0,0,39,35,110000,5,0,0,0,1,0,3,0
0,4,1,0,0,0,15,9,53832,14,1,0,1,0,1,5,1
0,0,1,0,0,0,7,2,18080,18,1,1,1,0,1,1,1
0,4,1,0,0,0,11,3,31128,11,1,1,0,1,0,2,0
0,4,1,0,0,0,16,12,96204,26,1,0,1,0,1,6,1
0,4,1,0,0,0,6,3,5448,9,0,0,1,0,0,1,0
0,0,1,0,0,0,15,6,88640,17,0,1,1,0,1,2,0
0,2,1,0,0,0,6,2,20539,18,1,1,0,0,1,2,1
1,3,1,0,0,0,30,10,49765,3,1,0,0,1,0,2,0
0,4,1,0,0,0,14,8,57765,7,1,0,0,0,1,3,0
0,4,1,0,0,0,6,3,40000,6,1,0,1,0,1,3,0
0,1,1,0,0,0,6,2,37440,12,1,0,1,1,0,3,0
0,4,0,0,0,0,3,1,11724,16,1,0,1,0,0,1,1
1,4,1,0,0,0,20,13,111814,11,1,0,1,1,1,2,0
0,0,1,0,0,0,5,4,133000,11,1,0,1,0,1,3,0
1,2,1,0,0,0,23,13,69183,8,1,0,1,1,0,2,1
0,4,1,0,1,0,20,6,64737,8,1,1,1,0,0,2,0
0,4,1,0,0,0,13,8,47563,9,0,0,1,0,1,2,0
1,4,1,0,0,0,16,12,118908,12,1,0,1,0,1,2,0
0,0,1,0,0,0,12,6,69183,14,1,0,1,0,1,2,1
0,4,1,0,0,0,10,8,29320,23,1,1,1,0,1,1,1
1,4,1,0,0,0,22,8,70264,14,1,1,0,1,1,2,0
0,4,1,1,0,0,1,0,4008,4,0,0,1,0,0,5,0
1,0,1,0,1,0,22,7,64859,17,1,0,1,0,1,2,1
1,0,1,0,0,0,30,17,59454,14,1,0,1,0,1,2,1
1,2,0,1,0,0,20,17,78750,6,1,0,1,0,0,3,0
0,0,1,0,1,1,13,5,36753,11,1,1,1,0,1,2,0
0,4,1,0,0,0,3,0,6981,5,0,1,1,0,1,1,0
1,4,1,0,0,1,25,19,125000,13,0,0,1,0,1,3,1
0,4,1,0,0,0,17,10,63854,5,0,1,0,0,0,2,0
1,2,1,0,1,0,14,10,123984,17,1,0,1,1,1,1,1
0,2,1,0,0,0,13,10,25944,11,1,0,1,0,0,2,0
0,2,0,0,0,0,4,0,2508,20,1,1,1,1,0,1,1
0,0,1,0,1,1,13,4,46482,15,1,1,1,0,1,2,0
0,0,1,0,0,0,9,5,7788,13,1,0,1,1,1,1,1
0,2,0,0,0,0,8,5,72000,12,1,0,1,1,0,3,1
1,2,0,0,0,0,34,25,152473,11,1,0,1,1,1,2,1
0,0,1,0,0,0,3,3,35672,2,0,1,0,0,0,2,0
0,0,0,0,0,0,12,6,85908,20,1,1,1,1,1,2,1
0,4,1,0,0,0,9,5,27144,15,1,1,1,0,1,5,1
0,4,1,0,1,0,4,0,8376,12,1,0,1,1,1,1,0
0,4,1,0,1,0,11,7,86478,19,1,0,1,0,1,2,1
0,2,0,0,0,0,13,8,45564,21,1,1,0,0,1,2,1
0,4,1,0,0,0,16,7,134028,2,0,1,0,0,0,1,0
0,0,0,0,0,0,17,10,36708,9,1,1,0,1,0,2,1
1,1,1,0,0,0,21,18,54049,18,1,1,1,0,1,2,1
1,0,1,0,1,1,27,7,56211,4,0,1,1,1,0,2,0
0,0,1,0,0,0,13,6,60744,17,1,1,1,0,1,2,1
0,4,0,0,0,0,8,3,5208,20,1,0,1,0,1,6,1
1,4,1,0,0,0,36,25,183767,8,0,0,1,1,1,2,0
0,4,1,0,0,0,11,2,25128,25,1,1,1,1,1,1,1
0,4,1,0,1,0,17,10,49725,18,1,0,1,1,1,5,1
0,2,1,0,0,0,13,4,36324,16,0,0,1,1,1,2,1
0,4,1,0,0,0,3,1,82000,11,1,0,1,0,1,3,0
0,3,1,0,0,0,12,10,105000,3,0,1,0,0,1,3,0
0,2,1,0,0,0,25,15,59454,27,1,1,1,1,1,2,1
0,2,1,0,0,0,4,2,28437,12,1,0,1,1,1,2,0
0,2,1,0,0,0,4,3,41004,9,1,0,0,1,0,2,1
1,4,1,0,0,1,25,5,101612,11,1,0,0,1,1,2,0
0,4,1,0,0,0,15,9,135000,14,1,0,1,1,1,3,1
0,4,1,0,0,0,6,7,31332,6,1,0,1,0,1,1,0
0,4,1,0,0,0,10,6,50806,14,1,0,1,1,0,2,1
0,2,1,0,0,0,6,3,41077,12,1,0,1,0,0,2,0
0,1,0,0,1,0,3,2,24912,15,1,0,1,0,1,2,0
0,0,1,0,0,0,7,5,45401,16,1,0,1,0,1,2,1
0,0,0,0,0,0,12,10,37620,23,1,0,1,1,1,2,1
0,0,1,0,0,0,11,3,40489,16,1,0,1,1,1,1,1
0,0,1,0,0,0,20,10,58000,17,1,0,1,0,1,3,1
0,4,1,1,1,0,2,1,12828,8,0,0,1,0,0,1,0
0,0,1,0,1,0,7,3,48472,4,1,1,0,1,0,2,0
0,2,1,0,0,0,7,5,27528,15,1,0,1,1,1,5,1
0,1,1,0,0,0,8,0,19389,15,0,1,1,1,0,2,1
0,4,1,0,0,0,11,7,43239,7,1,1,0,0,1,2,0
0,1,1,0,0,0,12,8,16215,13,1,0,1,0,0,2,0
0,4,0,0,1,0,10,5,35676,6,0,1,0,1,0,2,0
1,4,0,0,1,0,27,11,180000,5,1,0,0,0,1,3,0
0,3,1,0,0,1,10,7,51888,4,0,1,0,0,0,2,0
0,3,1,0,0,0,6,6,33095,5,0,0,0,1,0,2,0
0,4,1,0,1,0,4,1,8364,7,1,0,1,0,0,1,0
0,4,1,0,0,0,3,2,70000,7,1,1,0,1,1,3,0
1,0,1,0,0,0,9,9,57072,6,1,1,1,1,0,2,1
1,4,1,0,0,0,30,20,130000,12,1,0,1,1,1,3,1
0,4,1,0,0,0,3,2,22512,5,0,0,0,1,1,5,0
0,0,0,0,0,0,7,4,2568,8,1,0,0,1,1,1,0
0,4,1,0,0,0,5,4,22536,28,1,1,1,0,1,6,1
1,4,0,0,0,1,9,9,96000,3,1,1,0,0,0,3,0
0,4,1,0,1,0,15,8,32424,7,1,0,1,0,0,2,0
0,1,1,0,0,0,9,3,42156,13,1,1,1,0,1,2,1
1,4,1,0,0,0,14,8,91056,21,1,0,1,1,1,1,1
1,2,1,1,0,0,35,25,68068,11,1,1,1,1,1,3,0
0,4,1,0,0,0,6,2,9864,25,1,1,1,1,1,1,1
1,2,1,0,1,1,25,4,55702,3,1,0,0,0,1,3,0
0,1,1,0,0,0,3,2,11832,26,1,1,1,1,1,1,1
0,0,0,0,0,0,9,7,41232,15,1,0,1,0,1,6,1
0,0,1,0,0,0,2,1,6852,14,1,1,1,0,0,5,0
0,0,1,0,0,0,20,5,39131,19,1,0,1,1,0,2,1
0,0,1,0,0,0,10,8,46644,20,1,0,1,1,1,5,1
0,4,1,0,0,0,13,4,72000,9,1,1,1,0,0,3,1
1,2,1,0,0,0,33,20,110000,19,1,0,1,1,1,3,1
0,2,1,0,0,0,20,12,45401,15,1,1,1,0,1,2,1
0,4,1,0,1,0,18,13,155000,9,1,0,1,1,0,3,1
0,1,0,0,0,0,15,9,54564,20,1,0,1,0,1,2,1
0,0,0,0,0,0,12,4,24300,17,1,1,1,0,1,2,1
0,2,1,0,0,0,18,14,75885,21,1,1,1,1,1,2,1
0,1,1,0,0,0,15,9,30000,14,1,0,1,1,0,5,1
0,2,1,0,1,0,10,4,105000,3,0,0,0,0,1,3,0
1,0,1,0,0,0,29,24,68724,3,0,1,0,1,0,2,0
0,2,1,0,0,0,4,4,10992,11,1,1,1,0,1,6,0
0,4,1,0,0,0,6,3,40500,13,1,1,1,0,0,2,1
0,0,1,0,0,0,6,1,19152,3,0,0,0,1,0,5,0
0,4,1,0,0,0,5,1,12828,7,1,0,1,0,0,1,0
1,0,1,0,0,0,20,10,77832,17,1,0,1,1,1,2,1
0,4,0,0,1,0,11,0,16050,5,0,0,1,1,0,4,0
1,4,0,0,0,0,14,7,50928,13,1,1,1,0,1,2,0
0,4,0,0,1,0,2,1,5868,20,1,1,1,1,1,1,1
1,2,1,0,0,0,35,25,156000,29,1,0,1,1,1,3,1
1,4,1,0,0,0,21,20,155844,26,1,1,1,1,1,1,1
0,4,1,0,0,1,12,5,77900,5,1,0,0,0,1,3,0
0,0,1,0,0,1,4,2,27844,20,1,0,1,1,1,2,1
1,4,1,0,0,0,22,15,126083,10,1,0,1,1,0,2,1
0,2,1,0,0,0,12,6,51704,4,1,0,0,1,0,2,0
1,0,1,0,0,0,20,16,50806,10,1,0,1,0,0,2,0
0,4,1,0,0,0,10,4,38400,14,1,0,1,0,1,1,0
1,3,1,0,0,1,30,12,103776,7,1,1,1,1,1,2,0
0,0,0,0,0,0,10,2,45000,7,0,1,0,1,0,3,1
0,4,1,0,0,0,10,3,9773,14,1,0,1,1,1,1,1
0,0,1,0,0,0,13,4,45401,10,0,0,1,1,1,2,0
1,4,1,0,1,0,20,15,120000,17,1,0,1,1,1,3,1
0,4,1,0,0,0,12,8,66500,12,1,0,1,0,0,3,0
1,4,1,1,1,0,20,5,31224,9,0,0,1,0,0,0,1
0,0,1,0,0,0,6,6,8040,10,0,0,1,0,0,1,0
0,4,1,0,0,0,10,5,7344,16,1,0,1,1,1,1,1
0,0,1,0,1,0,11,2,3444,15,1,0,1,1,0,0,1
0,4,1,0,1,0,10,5,49296,8,1,0,1,0,0,2,0
0,4,1,0,0,0,15,7,125000,21,1,1,1,1,1,3,0
0,0,1,0,0,0,13,6,46482,2,0,0,0,1,0,2,0
0,2,0,0,0,0,8,1,20112,21,0,1,1,1,1,2,1
0,4,1,0,1,0,16,10,29320,10,0,0,1,0,0,1,1
0,4,1,0,0,0,4,2,7548,8,1,0,1,1,0,2,0
1,0,1,0,0,0,28,22,116333,11,0,0,1,0,1,2,1
1,2,1,0,0,1,10,3,54049,5,1,0,0,0,0,2,0
0,2,1,0,1,0,17,12,54049,13,1,0,1,1,1,2,1
0,1,1,0,0,0,12,6,32429,15,1,0,1,1,1,2,1
0,0,1,0,0,0,11,5,27240,3,0,0,0,1,0,2,0
0,3,1,0,0,0,4,1,71093,1,0,0,0,1,0,2,0
0,4,1,0,0,0,8,3,5496,7,0,0,1,0,0,6,0
0,4,1,0,0,0,4,2,14256,14,1,1,1,1,0,1,1
0,0,1,1,0,0,13,3,32429,18,1,1,1,1,1,2,1
1,4,1,0,0,0,27,25,160000,10,1,0,1,1,1,3,1
0,2,0,0,0,0,18,14,65976,19,1,1,1,0,1,6,1
0,4,1,0,0,0,9,1,49160,14,1,1,1,1,1,3,0
0,4,1,0,0,0,8,3,64000,18,1,1,1,0,1,3,1
0,0,1,0,0,0,16,9,57156,15,1,1,1,0,1,2,1
0,4,1,0,0,0,15,10,39564,3,0,0,1,0,0,5,0
1,4,1,0,0,0,30,8,50411,4,1,0,0,1,0,2,0
0,0,1,0,0,1,9,4,54049,11,0,1,1,0,0,2,0
0,4,0,0,0,0,6,4,59448,19,1,0,1,0,1,6,1
0,3,1,0,0,0,14,7,135000,5,1,0,0,0,1,3,0
0,4,1,0,0,0,21,14,105300,11,0,0,1,0,1,2,0
0,1,1,0,0,0,9,0,13332,24,1,1,1,1,1,0,1
0,0,1,0,0,0,9,4,46482,18,1,1,1,1,1,2,1
0,0,0,0,0,0,14,4,180000,13,1,0,0,1,1,6,0
0,4,1,0,0,0,6,4,17868,15,1,1,0,1,0,6,0
